name;url;description;pub_date;authors;cobertura-geografica;countries;federatives;cities;email;type_artigo;type_materia_jornalistica;type_aplicativo_plataforma;type_painel;type_conjunto_de_dados;type_inteligencia_artificial;type_estudo;type_bot;type_outro;topics_agricultura_extrativismo_pesca;topics_assistencia_desenvolvimento_social;topics_ciencia_informacao_comunicacao;topics_comercio_servicos_turismo;topics_cultura_lazer_esporte;topics_dados_estrategicos;topics_defesa_seguranca;topics_economia_financas;topics_educacao;topics_energia;topics_equipamentos_publicos;topics_geografia;topics_governo_politica;topics_habitacao_saneamento_urbanismo;topics_industria;topics_justica_legislacao;topics_meio_ambiente;topics_plano_plurianual;topics_relacoes_internacionais;topics_saude;topics_trabalho;topics_transportes_transito;tags;url_source;url_image;data_name;data_institution;data_url;data_periodical;continuar;data_name_2;data_institution_2;data_url_2;data_periodical_2;segunda_repeticao;data_name_3;data_institution_3;data_url_3;data_periodical_3;terceira_repeticao;data_name_4;data_institution_4;data_url_4;data_periodical_4;quarta_repeticao;data_name_5;data_institution_5;data_url_5;data_periodical_5;quinta_repeticao;data_name_6;data_institution_6;data_url_6;data_periodical_6;sexta_repeticao;data_name_7;data_institution_7;data_url_7;data_periodical_7;setima_repeticao;data_name_8;data_institution_8;data_url_8;data_periodical_8;oitava_repeticao;data_name_9;data_institution_9;data_url_9;data_periodical_9;nona_repeticao;data_name_10;data_institution_10;data_url_10;data_periodical_10;comment
IEPS Data;https://iepsdata.org.br/;Apesar de ricos e granulares, os dados de saúde existentes estão dispersos em sistemas de informação diferentes, o que dificulta consultas e cruzamentos de dados importantes. O IEPS Data reúne indicadores de diversos temas desde 2010 e disponibiliza visualizações, documentações e bases de dados prontas para download. O objetivo é que gestores, comunicadores, pesquisadores e a população em geral acessem e entendam a saúde de seus locais de interesse., , , ,;07/2022;Instituto de Estudos para Políticas de Saúde (IEPS);;Brasil;;;iepsdata@ieps.org.br;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;"indicadores; demografia; painel; infográfico; vacinação; IDH; mortalidade; natalidade; atenção primária; saúde suplementar; planos de saúde";https://;https://;Atlas do Desenvolvimento Humano nas Regiões Metropolitanas Brasileiras;Atlas Brasil;https://www.atlasbrasil.org.br/acervo/biblioteca;2;1;Dados do Programa Nacional de Imunizações (PNI);DATASUS;http://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/cpnibr.def;2;1;Beneficiários de Planos de Saúde;ANS;https://www.ans.gov.br/anstabnet/cgi-bin/dh?dados/tabnet_02.def;2;1;Sistema de Informações sobre Orçamento Público em Saúde (SIOPS);DATASUS;http://siops-asp.datasus.gov.br/cgi/tabcgi.exe?SIOPS/SerHist/ESTADO/indicuf.def;2;1;;IPEA;http://www.ipeadata.gov.br/Default.aspx;2;;;;;;;;;;;;;;;;;;;;;;;;;;O projeto IEPS Data consulta muitas outras bases de dados, especialmente de saúde. Mas não podemos colocar todas elas aqui.
FluxSUS;https://fluxsus.iepsdata.org.br;O objetivo desta plataforma é fornecer visualizações de dados a respeito das taxas de retenção, de atração e de fluxos de pacientes entre municípios brasileiros de 2010 a 2023, a partir do Sistema de Informações Hospitalares do SUS (SIHSUS). Espera-se que este projeto possa incentivar pesquisas sobre o processo de regionalização da saúde no SUS, além de promover tomadas de decisão por parte dos gestores de saúde pública.;09/2023;"Gabriely Rangel (IME-USP); Fabio Kon (IME-USP); Luciano da Fontoura Costa (IFSC-USP); Rubens Kon (CSEB-USP); Ligia Barrozo (FFLCH-USP); Rudi Rocha (FGV/EAESP e IEPS); Beatriz Rache (IEPS); Maria Cristina Franceschini (IEPS); Matías Mrejen (IEPS); Helena Arruda (IEPS); Leonardo Rosa (IEPS); Frederica Padilha (IEPS); Agatha Eleone (IEPS); Arthur Aguillar (IEPS)";;Brasil;;;iepsdata@ieps.org.br;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"regionalização; sus; desigualdade social; fluxo de pacientes; painel; dashboard; internações; hospitais";https://;https://;Internações hospitalares do SIHSUS;DataSUS;https://datasus.saude.gov.br/transferencia-de-arquivos/;2;1;Malha municipal;IBGE;https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/15774-malhas.html;2;1;Macrorregiões e Regiões de Saúde;CONASEMS;https://www.conasems.org.br/painel/macrorregioes-e-regioes-de-saude/;2;1;Causas evitáveis - Measuring the health of nations: analysis of mortality amenable to health care;National Library of Medicine;https://pmc.ncbi.nlm.nih.gov/articles/PMC261807/;2;1;Causas Sensíveis à Atenção Primária (ICSAP);Ministério da Saúde;https://bvsms.saude.gov.br/bvs/saudelegis/sas/2008/prt0221_17_04_2008.html;2;;;;;;;;;;;;;;;;;;;;;;;;;;Existe mais uma fonte de dados citada pelo projeto: Causas de Urgência Médica (https://icdcodelookup.com/icd-10/common-codes/emergency-dept), , Caso coletado pelo Ceweb.
SmartLab;https://smartlabbr.org;A iniciativa SmarlLab surgiu para construir conhecimento relevante para políticas públicas de promoção do trabalho decente com o uso de um recurso público de baixíssimo custo: dados públicos abertos., , A iniciativa conjunta do MPT e da OIT Brasil deu origem à Plataforma SmartLab, que tem fortalecido a cooperação com organizações governamentais, não-governamentais e internacionais que atuam na promoção dessa agenda e que precisam de informações para tomar decisões sobre as ações que desenvolvem. Por meio de Observatórios Digitais, a plataforma beneficia também a comunidade científica, que passa a ter acesso a informações com facilidade sem precedentes para pesquisa. Além disso, o fluxo público de informações para tomada de decisões baseadas em evidências e orientadas para resultados beneficia a sociedade civil em geral.;04/2017;"Ministério Público do Trabalho (MPT); Organização Internacional do Trabalho (OIT)";;Brasil;;;;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;"trabalho descente; saúde no trabalho; segurança no trabalho; trabalho infantil; trabalho escravo; tráfico de pessoas; diversidade; desigualdade; seguridade social; emprego";https://github.com/smartlab-br;https://;Cadastro Geral de Empregados e Desempregados (Novo CAGED);Ministério do Trabalho e Emprego;https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/novo-caged;1;1;Relação Anual de Informações Sociais (RAIS);Ministério do Trabalho e Emprego;https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/rais;1;1;Censo demográfico;IBGE;https://sidra.ibge.gov.br/pesquisa/censo-demografico;2;1;Índice de Desenvolvimento da Educação Básica (Ideb);INEP;https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/ideb/resultados;;1;Radar SIT - Painel de Informações e Estatísticas da Inspeção do Trabalho no Brasil;Escola Nacional de Inspeção do Trabalho (ENIT);https://sit.trabalho.gov.br/radar/;1;;;;;;;;;;;;;;;;;;;;;;;;;;Projeto catalogado pela equipe do Ceweb. Ele ainda utiliza muitos outros dados que não foram infomados aqui.
Propriedade e desigualdade: IPTU e acesso à habitação em São Paulo (1995-2020);https://www.teses.usp.br/teses/disponiveis/8/8131/tde-13062025-155620/pt-br.php;Esta tese investiga a política fiscal do Imposto Predial e Territorial Urbano (IPTU) na cidade de São Paulo entre 1995 e 2020, buscando compreender como as reformas nesse imposto foram possíveis e quais seus impactos nas desigualdades tributárias. Adotando uma perspectiva institucionalista histórica, a análise considera dados de lançamento do imposto, indicadores econômicos e sociais, entrevistas e análise documental, com o objetivo de identificar os mecanismos que explicam as políticas do IPTU em São Paulo.;06/2025;Guilherme Nascimento Minarelli;municipios;;;São Paulo (SP);guilherme.minarelli@gmail.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;"Acesso à habitação; Desigualdades; IPTU; Política Urbana";https://;https://;Zoneamento Fiscal do Município de São Paulo;CEM;https://github.com/cem-usp/dash-iptu;2;1;Base Fiscal do Cadastro de Imóveis do IPTU;Secretaria da Fazenda (PMSP);https://geosampa.prefeitura.sp.gov.br/;2;1;Setores Censitário 2000 da Região Metropolitana de São Paulo;CEM;https://centrodametropole.fflch.usp.br/pt-br/download-de-dados?f%5B0%5D=facets_temas%3Acenso%20demografico%202000;2;1;Shapefile dos Setores Censitários 2010 RM São Paulo SC2010 CEM;CEM;https://centrodametropole.fflch.usp.br/pt-br/download-de-dados?f%5B0%5D=facets_temas%3Acenso%20demografico%202010&busca_geral=&items_per_page=20&page=0;2;1;Registro Imobiliário Fiscal;Secretaria da Fazenda (PMSP);https://geosampa.prefeitura.sp.gov.br/PaginasPublicas/_SBC.aspx;2;1;Painel Cadastral da Cidade de São Paulo (1995-2024);CEM;https://dashiptu.centrodametropole.fflch.usp.br/;2;1;Parcelas Urbanas - Setores Censitários (2010-2022);MapBiomas;https://plataforma.brasil.mapbiomas.org/urban/urban_census_tracts?tl[id]=34&tl[themeKey]=urban&tl[subthemeKey]=urban_census_tracts&tl[pixelValues][]=102&tl[pixelValues][]=104&tl[pixelValues][]=103&tl[pixelValues][]=30&tl[pixelValues][]=23&tl[pixelValues][]=25&tl[pixelValues][]=9&tl[pixelValues][]=18&tl[pixelValues][]=21&tl[pixelValues][]=15&tl[pixelValues][]=5&tl[pixelValues][]=4&tl[pixelValues][]=3&tl[pixelValues][]=6&tl[pixelValues][]=49&tl[pixelValues][]=107&tl[pixelValues][]=109&tl[pixelValues][]=108&tl[pixelValues][]=11&tl[pixelValues][]=32&tl[pixelValues][]=12&tl[pixelValues][]=50&tl[pixelValues][]=13&tl[pixelValues][]=29&tl[pixelValues][]=33&tl[pixelValues][]=31&tl[legendKey]=urban_census_tracts_mapbiomas_census_tracts&tl[year]=2023&t[regionKey]=brazil&t[ids][]=1-1-1&t[divisionCategoryId]=95;2;1;;;https://;;;;;;;;;;;;Cadastro feito por Jacqueline (Ceweb).
A fluidez da unção: raça, gênero e erotismos evangélicos nas materialidades de um Ministério digital;https://sucupira-legado.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=14001459;Esta tese investigou como arranjos femininos pentecostais têm se construído no espaço público contemporâneo através de fluxos transnacionais e usos de mídias digitais, sobretudo do WhatsApp.;02/2023;Lorena Mochel;paises;Brasil;;;lorimochel@gmail.com;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"religião; sexualidade; gênero; raça; pentecostalismo; mulheres evangélicas; materialidades; Ministério; WhatsApp; mídias digitais";https://;https://;Censo 2010 - Amostra Religião;IBGE;https://cidades.ibge.gov.br/brasil/rj/pesquisa/23/22107?detalhes=true;2;1;Censo Demográfico de 2010;IBGE;https://censo2010.ibge.gov.br/resultados;2;1;PNAD Contínua TIC (2018);IBGE;https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?view=detalhes&id=2101705;2;1;TIC KIDS ONLINE BRASIL (2021);Cetic.br;https://cetic.br/pt/tics/kidsonline/2021/criancas/C3A/;2;1;TIC Domicílios (2021);Cetic.br;https://cetic.br/media/analises/tic_domicilios_2021_coletiva_imprensa.pdf;2;1;TIC Empresas (2021);Cetic.br;https://cetic.br/pt/pesquisa/empresas/indicadores/;2;2;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Arranjos institucionais de implementação: as políticas socioassistenciais para população em situação de rua em São Paulo e Belo Horizonte;https://www.teses.usp.br/teses/disponiveis/100/100138/tde-01072025-114304/pt-br.php;Esse estudo investiga os arranjos institucionais de implementação das políticas socioassistenciais voltadas à população em situação de rua em São Paulo e Belo Horizonte. A partir de uma abordagem comparativa, a pesquisa estrutura-se a partir de uma análise descritiva das políticas socioassistenciais voltadas à população em situação de rua nos municípios, abrangendo o período de 1970 a 2023. Além disso, são desenvolvidos indicadores para mensurar o atendimento aos requisitos estabelecidos nos normativos nacionais e municipais, utilizando dados do Censo SUAS e do Registro Mensal de Acompanhamento (RMA) entre 2017 e 2023.;08/2025;Maria Laura Gomes Lopes;unidades-federativas;;MG, SP;;marialauraglopes90@gmail.com;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;"Assistência Social; Governança; Implementação; Indicadores; População em Situação de Rua";https://;https://;Censo SUAS (2017-2023);Secretaria Nacional de Assistência Social (SNAS) e Secretaria de Avaliação e Gestão da Informação (SAGI);https://dados.gov.br/dados/conjuntos-dados/censo-suas;2;1;Registro Mensal de Acompanhamento (2017-2023);Secretaria de Avaliação, Gestão da Informação e Cadastro Único (SAGICAD);https://dados.gov.br/dados/conjuntos-dados/registro-mensal-de-atendimentos---rma;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Saúde cardiovascular e habitação: um diálogo importante travado nos assentamentos precários de São Paulo;https://www.scielo.br/j/ea/a/fFtvRnp9kqKCKGCWR4qkJ5w/?format=html&lang=pt;Neste estudo, foram analisados dados de residentes do município de São Paulo que foram internados e os que foram a óbito, por doenças do aparelho circulatório de 2010 a 2016, para óbitos, e de 2011 a 2016, para internações. Cada internação e óbito foi atribuída ao assentamento de moradia segundo tipo: aglomerado subnormal (AGSN), precário ou regular.;23/10/2023;"Ligia Vizeu Barrozo; Carlos Leite; Edson Amaro Jr.; Paulo Hilário Nascimento Saldiva";unidades-federativas;;SP;;"lija@usp.br; carlos.souza@mackenzie.br; edson.junior@einstein.br; pepino@usp.br";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;"Internação hospitalar; Mortalidade; Aglomerado subnormal; Assentamento precário; Cartografia";https://;https://;Censo Demográfico 2010;IBGE;https://censo2010.ibge.gov.br/resultados;2;1;Base cartográfica dasimétrica do município de São Paulo do Censo Demográfico de 2010;IBGE;https://github.com/ligiaviz/dasymetric_SaoPaulo;2;1;Sistema de Informações de Mortalidade por CEP de residência (2010-2016);IBGE;https://centrodametropole.fflch.usp.br/pt-br/downloads-de-dados/datacem;2;1;Autorizações de Internações Hospitalares por CEP de residência (2011-2016);IBGE;https://centrodametropole.fflch.usp.br/pt-br/downloads-de-dados/datacem;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
DataCEM: Plataforma de Extração de Microdados dos Censos Demográficos (1960-2010);http://200.144.244.241:3004/;O DataCEM é uma plataforma online para consulta e cruzamento de dados, por meio de uma interface gráfica intuitiva e amigável, que visa atingir estudantes de graduação, profissionais de outras áreas interessados em produzir seus próprios dados a partir das fontes primárias originais.;07/2019;CEM;paises;Brasil;;;centrodametropole@usp.br;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;"Censo Demográfico; Microdados; Harmonização";https://;https://;Censos Demográficos (1960-2010);IBGE;https://www.ibge.gov.br/estatisticas/sociais/administracao-publica-e-participacao-politica/9663-censo-demografico-2000.html?=&t=microdados;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Aspectos do urbano no Estado de São Paulo: o que nos dizem as teses e dissertações?;https://sbsociologia.com.br/wp-content/uploads/2024/06/AS-CIDADE-NO-DEBATE-CONTEMPORANEO.pdf;O texto é de autoria da equipe da pesquisadora Bianca Freire-Medeiros, da USP e do Centro de Estudos da Metrópole (CEM), e trata de aspectos do urbano no Estado de São Paulo, a partir de um balanço exaustivo das teses e dissertações defendidas entre 1940 e 2015, com base nos dados do Urban-Data Brasil: banco de dados bibliográfico.;2024;"Bianca Freire-Medeiros; Alexandre Magalhães; Gleicy Silva; Ana Carolina Machado; Gabriela Rocha";unidades-federativas;;SP;;"bfreiremedeiros@usp.br; alexandre.magalhaes@ufrgs.br; gleicy.silva@unesp.br; anacarolinapadua@usp.br; gabriela.silva.rocha@usp.br";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"análises bibliométricas; programas de pós-graduação; urbano paulista; sociologia urbana";https://;https://;Teses e dissertações sobre o urbano paulista (1940-2015);UrbanData-Brasil;https://urbandatabrasil.fflch.usp.br/sites/urbandatabrasil.fflch.usp.br/files/inline-files/BASE%20ATUALIZADA%202024%20%281%29_0.xlsx;2;1;Artigos publicados em revistas indexadas na base Scopus;Scopus: Portal de Periódicos da CAPES;https://www.periodicos.capes.gov.br/?option=com_pcollection&mn=70&smn=79&cid=63;;1;Diretório de Grupos de Pesquisa (DGP);CNPq;https://lattes.cnpq.br/web/dgp;2;1;Censo 2022 - Cidades e Estados;IBGE;https://www.ibge.gov.br/cidades-e-estados/sp.html;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
UrbanData-Brasil;https://urbandatabrasil.fflch.usp.br/pesquisa;"O UrbanData-Brasil é um banco de dados bibliográfico que reúne informações publicadas acerca das várias dimensões do urbano brasileiro. A partir da coleta de trabalhos em catálogos e bases de dados on-line (como do Portal de Dados Abertos da CAPES, do Instituto Brasileiro de Informações em Ciência e Tecnologia - IBCT, do Scopus - Portal de Periódicos da CAPES, entre outros repositórios), a equipe do UrbanData-Brasil classifica cada trabalho utilizando, para além de indexadores convencionais, outras três variáveis que imprimem originalidade ao trabalho classificatório e analítico: Referência Temporal (a que período cronológico a pesquisa se refere?), Referência Espacial (da escala do logradouro mais específico à escala global, onde a pesquisa aporta?) e Áreas Temáticas. A partir desses parâmetros, são tecidas uma série de análises bibliométricas. Qualquer pessoa pode fazer consultas ao banco de dados na página ""Pesquisa Bibliográfica"", além de tratar-se de uma plataforma colaborativa, na qual é possível registrar seu próprio trabalho, que será validado posteriormente pela equipe.";2018;"UrbanData-Brasil; CEM";paises;Brasil;;;bfreiremedeiros@usp.br;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;"Estudos Urbanos; Sociologia Urbana; análises bibliométricas; banco de dados bibliográfico;";https://;https://drive.google.com/file/d/1xsb9S8_9dhWzuxcM5ll5BV_HVCfB0MA7/view?usp=sharing;Publicações em Periódicos;CAPES;https://www.periodicos.capes.gov.br/?option=com_pcollection&mn=70&smn=79&cid=63;1;1;Catálogo de Teses e Dissertações;CAPES;https://dadosabertos.capes.gov.br/dataset/?q=cat%C3%A1logo&sort=score+desc%2C+metadata_modified+desc;1;1;Biblioteca Digital Brasileira de Teses e Dissertações;Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT);https://bdtd.ibict.br/vufind/;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
A evolução do ensino da pós-graduação senso estrito no Brasil: análise exploratória e proposições para pesquisa;https://www.scielo.br/j/aval/a/8CnjZmYsCs7xkrWKn7vj9Nd/abstract/?lang=pt;Partindo do conceito de conhecimento como bem público capaz de sustentar o desenvolvimento de uma sociedade, o objetivo deste trabalho é analisar a evolução do ensino da pós-graduação senso estrito (doutorado, mestrado e mestrado profissional) no Brasil. Para tanto, foi utilizada a base de dados GeoCAPES da CAPES, que abrange a análise do período de 1998 a 2011.;03/2015;"Claudia Brito Silva Cirani; Milton de Abreu Campanario; Heloisa Helena Marques da Silva";paises;Brasil;;;"cloubrito@hotmail.com; milton.campanario@gmail.com; hhelloissa@hotmail.com";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"Brasil; pós-graduação senso estrito; CAPES";https://;https://;Indicadores da Pós-Graduação no Brasil (1998-2011);CAPES;https://geocapes.capes.gov.br/geocapes/;2;1;Indicadores Sociais Mínimos - Aspectos Demográficos;IBGE;https://www.ibge.gov.br/estatisticas/sociais/educacao/17374-indicadores-sociais-minimos.html;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Mapeando a perda de diversidade florística na Amazônia brasileira em função do desmatamento histórico e futuro;https://www.repositorio.ufal.br/handle/riufal/3598;"Nesse trabalho, temos como objetivos: (1) Caracterizar quão completos e precisos são os dados de plantas terrestres para Amazônia brasileira disponíveis em plataformas de acesso livre; (2) Investigar quando e onde os registros botânicos ocorreram ao longo do tempo; (3) Avaliar o quanto que o conhecimento sobre a diversidade florística foi degradado pelo desmatamento histórico e futuro. Nós compilamos os registros de ocorrências de espécies da classe Magnoliopsida para a região da Amazônia Brasileira a partir de três bancos de dados de acesso livre. Calculamos a completude dos registros temporal e espacial disponíveis na região e como sua distribuição é afetada pelo desmatamento, passado e futuro.";27/02/2018;Bruno Umbelino da Silva Santos;unidades-federativas;;AC, AP, AM, MA, MT, PA, RO, RR, TO;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Amazônia; qualidade dos dados; desmatamento; plantas com flores, ; Global Diversity Information Facility; SpeciesLink; SiBBr; viés temporal; dados de ocorrência de espécies";https://;https://;Ocorrência da espécie Magnoliopsida na Amazônia Brasileira;Ministério da Ciência, Tecnologia e Inovações;https://regions.sibbr.gov.br/regions/Biomas%20do%20Brasil/Mata%2520Atlantica#group=Plantae&subgroup=Plantas%20vasculares, %20traque%C3%B3fitas, %20traque%C3%B3fitas, %20traque%C3%B3fitas, %20traque%C3%B3fitas&guid=&from=2020&to=2025&tab=speciesTab&fq=species_subgroup%3A%22Plantas%20vasculares, %20traque%C3%B3fitas, %20traque%C3%B3fitas, %20traque%C3%B3fitas, %20traque%C3%B3fitas%22;2;1;Ocorrência da espécie Magnoliopsida na Amazônia Brasileira;Centro de Referência e Treinamento em Biologia Computacional;https://specieslink.net/search/;2;1;Ocorrência da espécie Magnoliopsida na Amazônia Brasileira;GBIF;https://www.gbif.org/pt/species/220;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Letais, violentos e intencionais: os crimes contra policiais no Ceará;https://mais.opovo.com.br/https//mais-opovo-com-br/reportagens-especiais/policiais-seguranca-publica/2025/06/08/letais-violentos-e-intencionais-os-crimes-contra-policiais-no-ceara.html;"""Em um levantamento exclusivo da Central de Dados O POVO+, obtido por meio da Lei de Acesso à Informação, esta reportagem explora o número crescente de mortes entre oficiais das forças de segurança no Ceará e analisa como esses dados se articulam com a realidade do resto do País.""";08/2025;"Mateus Mota, Ayuri Reis; Wanderson Trindade; O POVO+";unidades-federativas;;CE;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://;https://;;;https://;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dados obtidos via LAI
Fumaça de queimadas aumenta casos de síndrome gripal na região metropolitana de Manaus;https://infoamazonia.org/2025/02/27/fumaca-de-queimadas-aumenta-casos-de-sindrome-gripal-na-regiao-metropolitana-de-manaus/;Os atendimentos por Síndrome Gripal (SG) nos 13 municípios da região Metropolitana de Manaus (RMM) tiveram alta de 23, 4% durante julho de 2024, comparado ao mês anterior, revela análise da InfoAmazonia. A alta coincide com o fim do inverno amazônico em junho, e início da temporada mais seca e das queimadas na Amazônia, que tradicionalmente se intensificam a partir de julho., , , , A análise, feita com base em dados do Ministério da Saúde, revelam que as notificações aumentaram de 3.971 para 4.900 registros, o que também evidencia o padrão sazonal que persiste na região.;27/02/2025;Ana Kelly Franco;municipios;;;Manaus (AM), Careiro da Várzea (AM), Iranduba (AM), Itacoatiara (AM), Manacapuru (AM), Novo Airão (AM), Presidente Figueiredo (AM), Rio Preto da Eva (AM), Silves (AM), Itapiranga (AM), Autazes (AM), Careiro (AM), Manaquiri (AM);;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;"Síndrome Gripal (SG); Amazônia; queimadas";https://;https://;Notificações de Síndrome Gripal;Ministério da Saúde;https://opendatasus.saude.gov.br/dataset/notificacoes-de-sindrome-gripal-leve-2024;2;1;Número de Registros de Queimadas;INPE;https://terrabrasilis.dpi.inpe.br/queimadas/bdqueimadas/#;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Censo 2022 - descomplicando os dados de Foz do Iguaçu;https://www.h2foz.com.br/tag/censo-ibge/;O projeto tem como objetivo apresentar os dados de Foz do Iguaçu coletados pelo Censo 2022/IBGE de forma acessível e descomplicada, utilizando recursos visuais como infográficos para facilitar a compreensão.;03/2024;"Vacy Álvaro; Alexandre Palmar";municipios;;;Foz do Iguaçu (PR);;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;"Foz do Iguaçu; Censo 2022; dados acessíveis";https://;https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.facebook.com%2Fh2foz%2F&psig=AOvVaw11BPxPMZIh2fRUGF_Xmcuh&ust=1758214100290000&source=images&cd=vfe&opi=89978449&ved=0CBUQjRxqFwoTCOj9x4ig4I8DFQAAAAAdAAAAABAK;Censo 2022;IBGE;https://censo2022.ibge.gov.br/apps/pgi/#/home;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
Se o clima mudou, a política também precisa mudar?;https://www.instagram.com/reel/DJxUOtKJ_xX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;O documentário busca fomentar o debate sobre os impactos da crise climática na saúde das populações amazônicas, reunindo especialistas em saúde pública e mudanças climáticas, com base em dados públicos pouco explorados pela mídia tradicional local. As nuvens de fumaça que cobrem a Amazônia ano após ano, as estimativas alarmantes e os eventos extremos não são simples fatalidades. São, possivelmente, sintomas de lacunas estruturais. Ausência de políticas públicas? Falta de planos de contingência? Investimentos mal direcionados? Defasagem na revisão dos planos diretores de cidades e comunidades rurais? Buscamos responder essas perguntas em um minidocumentário com formato inédito na mídia independente local.;17/05/2025;"Caio Profiro; Letícia Rolim; Thiago Delfino; Walter Franco";unidades-federativas;;AM;;;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;"Mudanças climáticas; Amazônia; queimadas; poluição; doenças respiratórias; COP30";https://;https://www.instagram.com/p/DJsBl-fuJuy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Lei Orçamentária Anual (LOA) do Governo do Estado do Amazonas;Governo do Estado do Amazonas;https://www.transparencia.am.gov.br/programas-e-acoes/loa-lei-orcamentaria-anual/;2;1;Território do Amazonas - Terras Indígenas;Secretaria de Estado de Meio Ambiente (SEMA-AM);https://www.sema.am.gov.br/;2;1;Território do Amazonas - Esfera Administrativa Responsável;Secretaria de Estado de Meio Ambiente (SEMA-AM);https://www.sema.am.gov.br/;2;1;Lei Orçamentária Anual (LOA) - Manaus (2025);Prefeitura de Manaus;https://www.manaus.am.gov.br/noticia/orcamento/lei-orcamentaria-aprovada/;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cadastrado por Jacqueline (Ceweb.br)
